ticker,thr,TPR,FPR_per_day,mean_delay_days,n_windows,true_positives,false_positives
NIKKEI225,0.35,1.0,0.5267576075550892,-5.9,10,10,1004
NIKKEI225,0.39999999999999997,1.0,0.5178384050367262,-5.9,10,10,987
NIKKEI225,0.44999999999999996,1.0,0.5110178384050367,-5.9,10,10,974
NIKKEI225,0.49999999999999994,1.0,0.5036726128016789,-5.9,10,10,960
NIKKEI225,0.5499999999999999,1.0,0.49737670514165794,-5.0,10,10,948
NIKKEI225,0.6,1.0,0.48898216159496327,-5.0,10,10,932
NIKKEI225,0.65,1.0,0.47848898216159497,-5.0,10,10,912
NIKKEI225,0.7,1.0,0.4727177334732424,-5.0,10,10,901
NIKKEI225,0.75,1.0,0.4653725078698846,-5.0,10,10,887
NIKKEI225,0.7999999999999999,1.0,0.45435466946484787,-5.0,10,10,866
NIKKEI225,0.85,1.0,0.44491080797481636,-5.0,10,10,848
NIKKEI225,0.9,1.0,0.4233997901364113,-5.0,10,10,807
NIKKEI225,0.95,1.0,0.39716684155299053,-3.9,10,10,757
RUSSELL2000,0.05,1.0,0.710984230560087,-10.153846153846153,13,13,5230
RUSSELL2000,0.1,1.0,0.6648994018488309,-9.461538461538462,13,13,4891
RUSSELL2000,0.15,1.0,0.6374388254486134,-9.153846153846153,13,13,4689
RUSSELL2000,0.2,1.0,0.6169113648722132,-9.153846153846153,13,13,4538
RUSSELL2000,0.25,1.0,0.6031810766721044,-9.153846153846153,13,13,4437
RUSSELL2000,0.3,1.0,0.5867319195214791,-9.153846153846153,13,13,4316
RUSSELL2000,0.35,1.0,0.5727297444263186,-9.153846153846153,13,13,4213
RUSSELL2000,0.39999999999999997,1.0,0.5594072865687874,-9.153846153846153,13,13,4115
RUSSELL2000,0.44999999999999996,1.0,0.546220772158782,-9.153846153846153,13,13,4018
RUSSELL2000,0.49999999999999994,1.0,0.5352093529091898,-8.076923076923077,13,13,3937
RUSSELL2000,0.5499999999999999,1.0,0.5221587819467102,-8.076923076923077,13,13,3841
RUSSELL2000,0.6,1.0,0.5110114192495921,-8.076923076923077,13,13,3759
RUSSELL2000,0.65,1.0,0.49945622620989666,-8.076923076923077,13,13,3674
RUSSELL2000,0.7,1.0,0.48694942903752036,-8.076923076923077,13,13,3582
RUSSELL2000,0.75,1.0,0.47457857531266995,-8.0,13,13,3491
RUSSELL2000,0.7999999999999999,1.0,0.45840130505709625,-8.0,13,13,3372
RUSSELL2000,0.85,1.0,0.44072865687873847,-6.769230769230769,13,13,3242
RUSSELL2000,0.9,1.0,0.41802610114192496,-6.615384615384615,13,13,3075
RUSSELL2000,0.95,1.0,0.3828167482327352,-6.384615384615385,13,13,2816
SENSEX,0.05,1.0,0.6227743271221532,-9.0,10,10,3008
SENSEX,0.1,1.0,0.5840579710144927,-8.0,10,10,2821
SENSEX,0.15,1.0,0.5602484472049689,-8.0,10,10,2706
SENSEX,0.2,1.0,0.5440993788819876,-7.6,10,10,2628
SENSEX,0.25,1.0,0.5300207039337475,-7.6,10,10,2560
SENSEX,0.3,1.0,0.5186335403726708,-7.6,10,10,2505
SENSEX,0.35,1.0,0.5089026915113871,-7.6,10,10,2458
SENSEX,0.39999999999999997,1.0,0.4989648033126294,-7.6,10,10,2410
SENSEX,0.44999999999999996,1.0,0.4888198757763975,-7.6,10,10,2361
SENSEX,0.49999999999999994,1.0,0.47929606625258797,-7.6,10,10,2315
SENSEX,0.5499999999999999,1.0,0.4712215320910973,-7.4,10,10,2276
SENSEX,0.6,1.0,0.46356107660455487,-7.4,10,10,2239
SENSEX,0.65,1.0,0.45590062111801244,-7.4,10,10,2202
SENSEX,0.7,1.0,0.44761904761904764,-6.6,10,10,2162
SENSEX,0.75,1.0,0.43478260869565216,-6.6,10,10,2100
SENSEX,0.7999999999999999,1.0,0.41966873706004143,-6.4,10,10,2027
SENSEX,0.85,1.0,0.4080745341614907,-6.4,10,10,1971
SENSEX,0.9,1.0,0.3906832298136646,-6.4,10,10,1887
SENSEX,0.95,1.0,0.36252587991718427,-5.6,10,10,1751
SP500,0.05,1.0,0.49221876389506447,-9.615384615384615,13,13,6642
SP500,0.1,1.0,0.4487920557284719,-9.615384615384615,13,13,6056
SP500,0.15,1.0,0.42233585297169113,-9.153846153846153,13,13,5699
SP500,0.2,1.0,0.40091892693048764,-7.769230769230769,13,13,5410
SP500,0.25,1.0,0.38683859493108047,-7.6923076923076925,13,13,5220
SP500,0.3,1.0,0.3732770120053357,-7.6923076923076925,13,13,5037
SP500,0.35,1.0,0.36238328145842597,-6.3076923076923075,13,13,4890
SP500,0.39999999999999997,1.0,0.35319401215354973,-6.3076923076923075,13,13,4766
SP500,0.44999999999999996,1.0,0.3421520675855936,-6.3076923076923075,13,13,4617
SP500,0.49999999999999994,1.0,0.3333333333333333,-6.3076923076923075,13,13,4498
SP500,0.5499999999999999,1.0,0.3241440640284571,-6.3076923076923075,13,13,4374
SP500,0.6,1.0,0.31643693493404473,-6.3076923076923075,13,13,4270
SP500,0.65,1.0,0.30821105676597005,-5.923076923076923,13,13,4159
SP500,0.7,1.0,0.29894768045057063,-4.153846153846154,13,13,4034
SP500,0.75,1.0,0.2874610938194753,-4.153846153846154,13,13,3879
SP500,0.7999999999999999,1.0,0.2768637913146584,-4.076923076923077,13,13,3736
SP500,0.85,1.0,0.26345042240996,-4.076923076923077,13,13,3555
SP500,0.9,1.0,0.24951830443159922,-3.8461538461538463,13,13,3367
SP500,0.95,1.0,0.22469245590632875,-3.8461538461538463,13,13,3032
STI_SINGAPORE,0.05,1.0,0.6405442645539098,-9.31578947368421,19,19,3719
STI_SINGAPORE,0.1,1.0,0.597829831209094,-9.210526315789474,19,19,3471
STI_SINGAPORE,0.15,1.0,0.5690664829486738,-8.894736842105264,19,19,3304
STI_SINGAPORE,0.2,1.0,0.5490871512228729,-8.578947368421053,19,19,3188
STI_SINGAPORE,0.25,1.0,0.5334137099552188,-8.578947368421053,19,19,3097
STI_SINGAPORE,0.3,1.0,0.5196348604891492,-8.578947368421053,19,19,3017
STI_SINGAPORE,0.35,1.0,0.5068894247330348,-8.578947368421053,19,19,2943
STI_SINGAPORE,0.39999999999999997,1.0,0.4937995177402687,-8.578947368421053,19,19,2867
STI_SINGAPORE,0.44999999999999996,1.0,0.48105408198415434,-8.578947368421053,19,19,2793
STI_SINGAPORE,0.49999999999999994,1.0,0.472270065449535,-8.578947368421053,19,19,2742
STI_SINGAPORE,0.5499999999999999,1.0,0.4600413365483982,-8.578947368421053,19,19,2671
STI_SINGAPORE,0.6,1.0,0.44953496383052016,-8.578947368421053,19,19,2610
STI_SINGAPORE,0.65,1.0,0.4407509472959008,-8.578947368421053,19,19,2559
STI_SINGAPORE,0.7,1.0,0.4281777471581123,-8.31578947368421,19,19,2486
STI_SINGAPORE,0.75,1.0,0.41508784016534617,-8.263157894736842,19,19,2410
STI_SINGAPORE,0.7999999999999999,1.0,0.3992421632793662,-8.263157894736842,19,19,2318
STI_SINGAPORE,0.85,1.0,0.3840854288666896,-8.263157894736842,19,19,2230
STI_SINGAPORE,0.9,1.0,0.36393386152256285,-8.105263157894736,19,19,2113
STI_SINGAPORE,0.95,1.0,0.3325869789872546,-7.368421052631579,19,19,1931
